Unnamed,FileName,ARTIST,TITLE,ChartDate,PeakPosition,WeeksOnChart,TargetRank,ActualRank,SampleID,YoutubeLink,OriginalAudio,Year,SongGroup,HumName,WavFileName,consent_yes.thisRepN,consent_yes.thisTrialN,consent_yes.thisN,consent_yes.thisIndex,valenceAnnotationLoops.thisRepN,valenceAnnotationLoops.thisTrialN,valenceAnnotationLoops.thisN,valenceAnnotationLoops.thisIndex,consent_form_text.started,consent_form_text.stopped,consent_resp.keys,consent_resp.rt,consent_resp.started,consent_resp.stopped,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,fixation_message.started,fixation_message.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,track.started,track.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,10.765435709996382,None,y,1.3243248509970726,10.765435709996382,None,,,,,,,,,,,,,,,2,001,2022-04-23_12h46.59.859,SS,2022.1.2,60.77102373331544,
473,PinkFloyd_AnotherBrickInTheWall_1980,Pink Floyd,Another Brick In The Wall (Part II),7/5/80,1,25,93,94,1052,https://www.youtube.com/watch?v=xBQsQoGodPY,True,1980,0,PinkFloyd_AnotherBrickInTheWall_1980.hum,wavs/PinkFloyd_AnotherBrickInTheWall_1980.wav,0,0,0,0,0,0,0,3,,,,,,,12.123018571001012,None,y,0.5903240909974556,12.123018571001012,None,12.816741823000484,None,y,0.459825092999381,12.816741823000484,None,13.589860571404278,None,2,001,2022-04-23_12h46.59.859,SS,2022.1.2,60.77102373331544,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.06257202899724,None,y,8.904888209988712,235.06257202899724,None,,,,,,,,,
