consent_yes.thisRepN,consent_yes.thisTrialN,consent_yes.thisN,consent_yes.thisIndex,consent_form_text.started,consent_form_text.stopped,consent_resp.keys,consent_resp.rt,consent_resp.started,consent_resp.stopped,instructions_text.started,instructions_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.459089665993815,None,y,0.8485400470090099,10.459089665993815,None,,,1,001,2022-04-23_12h29.42.666,SS,2022.1.2,60.159459021855355,
,,,,,,,,,,11.344340138995904,None,,,,,,,
